,@device,@rdgType,value,type,captured_at
276,Workshop,TEMPERATURE,27.05,LIGHT+ENV,2021-09-09 13:46:02
277,Workshop,LUX,1811.0,LIGHT+ENV,2021-09-09 13:48:00
278,Workshop,TEMPERATURE,27.2,LIGHT+ENV,2021-09-09 13:48:00
279,Workshop,HUMIDITY,41.72,LIGHT+ENV,2021-09-09 13:48:00
280,Workshop,PRESSURE,100613.59375,LIGHT+ENV,2021-09-09 13:48:00
281,Workshop,PRESSURE,100611.34375,LIGHT+ENV,2021-09-09 13:49:05
282,Workshop,TEMPERATURE,27.39,LIGHT+ENV,2021-09-09 13:49:05
283,Workshop,LUX,1756.0,LIGHT+ENV,2021-09-09 13:49:05
284,Workshop,HUMIDITY,45.59,LIGHT+ENV,2021-09-09 13:49:05
288,Workshop,TEMPERATURE,27.49,LIGHT+ENV,2021-09-09 13:51:03
287,Workshop,LUX,1694.0,LIGHT+ENV,2021-09-09 13:51:03
286,Workshop,HUMIDITY,45.56,LIGHT+ENV,2021-09-09 13:51:03
285,Workshop,PRESSURE,100616.0,LIGHT+ENV,2021-09-09 13:51:03
289,Workshop,PRESSURE,100623.04688,LIGHT+ENV,2021-09-09 13:53:01
290,Workshop,TEMPERATURE,27.61,LIGHT+ENV,2021-09-09 13:53:01
291,Workshop,LUX,1695.0,LIGHT+ENV,2021-09-09 13:53:01
292,Workshop,HUMIDITY,48.84,LIGHT+ENV,2021-09-09 13:53:01
293,Workshop,HUMIDITY,46.85,LIGHT+ENV,2021-09-09 13:54:05
294,Workshop,PRESSURE,100619.28125,LIGHT+ENV,2021-09-09 13:54:05
295,Workshop,LUX,1629.0,LIGHT+ENV,2021-09-09 13:54:05
296,Workshop,TEMPERATURE,27.71,LIGHT+ENV,2021-09-09 13:54:05
297,Workshop,TEMPERATURE,27.69,LIGHT+ENV,2021-09-09 13:56:04
298,Workshop,PRESSURE,100618.92188,LIGHT+ENV,2021-09-09 13:56:04
299,Workshop,LUX,1576.0,LIGHT+ENV,2021-09-09 13:56:04
300,Workshop,HUMIDITY,41.58,LIGHT+ENV,2021-09-09 13:56:04
304,Workshop,LUX,1695.0,LIGHT+ENV,2021-09-09 13:58:02
303,Workshop,PRESSURE,100613.57813,LIGHT+ENV,2021-09-09 13:58:02
301,Workshop,HUMIDITY,39.38,LIGHT+ENV,2021-09-09 13:58:02
302,Workshop,TEMPERATURE,27.51,LIGHT+ENV,2021-09-09 13:58:02
305,Workshop,PRESSURE,100609.40625,LIGHT+ENV,2021-09-09 14:00:01
306,Workshop,LUX,1826.0,LIGHT+ENV,2021-09-09 14:00:01
307,Workshop,HUMIDITY,37.42,LIGHT+ENV,2021-09-09 14:00:01
308,Workshop,TEMPERATURE,27.32,LIGHT+ENV,2021-09-09 14:00:01
309,Workshop,LUX,1857.0,LIGHT+ENV,2021-09-09 14:01:05
310,Workshop,HUMIDITY,38.68,LIGHT+ENV,2021-09-09 14:01:05
311,Workshop,TEMPERATURE,27.2,LIGHT+ENV,2021-09-09 14:01:05
312,Workshop,PRESSURE,100622.02344,LIGHT+ENV,2021-09-09 14:01:05
313,Workshop,LUX,1832.0,LIGHT+ENV,2021-09-09 14:03:04
314,Workshop,TEMPERATURE,26.97,LIGHT+ENV,2021-09-09 14:03:04
315,Workshop,PRESSURE,100614.28906,LIGHT+ENV,2021-09-09 14:03:04
316,Workshop,HUMIDITY,35.08,LIGHT+ENV,2021-09-09 14:03:04
320,Workshop,PRESSURE,100616.17188,LIGHT+ENV,2021-09-09 14:05:02
319,Workshop,TEMPERATURE,26.77,LIGHT+ENV,2021-09-09 14:05:02
318,Workshop,HUMIDITY,35.26,LIGHT+ENV,2021-09-09 14:05:02
317,Workshop,LUX,1836.0,LIGHT+ENV,2021-09-09 14:05:02
321,Workshop,TEMPERATURE,26.82,LIGHT+ENV,2021-09-09 14:07:00
322,Workshop,PRESSURE,100607.27344,LIGHT+ENV,2021-09-09 14:07:00
323,Workshop,LUX,1920.0,LIGHT+ENV,2021-09-09 14:07:00
324,Workshop,HUMIDITY,37.3,LIGHT+ENV,2021-09-09 14:07:00
325,Workshop,HUMIDITY,38.79,LIGHT+ENV,2021-09-09 14:08:05
326,Workshop,PRESSURE,100615.89063,LIGHT+ENV,2021-09-09 14:08:05
327,Workshop,TEMPERATURE,26.98,LIGHT+ENV,2021-09-09 14:08:05
328,Workshop,LUX,1911.0,LIGHT+ENV,2021-09-09 14:08:05
329,Workshop,HUMIDITY,39.67,LIGHT+ENV,2021-09-09 14:10:03
330,Workshop,PRESSURE,100608.85156,LIGHT+ENV,2021-09-09 14:10:03
331,Workshop,TEMPERATURE,27.14,LIGHT+ENV,2021-09-09 14:10:03
332,Workshop,LUX,1926.0,LIGHT+ENV,2021-09-09 14:10:03
