,@device,@rdgType,value,type,captured_at
281,Window,HUMIDITY,60.12,LIGHT+ENV,2021-09-02 13:06:02
280,Window,LUX,7638.0,LIGHT+ENV,2021-09-02 13:06:02
279,Window,TEMPERATURE,23.09,LIGHT+ENV,2021-09-02 13:06:02
283,Window,TEMPERATURE,23.18,LIGHT+ENV,2021-09-02 13:08:00
284,Window,HUMIDITY,60.35,LIGHT+ENV,2021-09-02 13:08:00
285,Window,PRESSURE,100525.0,LIGHT+ENV,2021-09-02 13:08:00
286,Window,LUX,10587.0,LIGHT+ENV,2021-09-02 13:08:00
287,Window,LUX,9019.0,LIGHT+ENV,2021-09-02 13:09:05
288,Window,HUMIDITY,60.25,LIGHT+ENV,2021-09-02 13:09:05
289,Window,TEMPERATURE,23.26,LIGHT+ENV,2021-09-02 13:09:05
290,Window,PRESSURE,100524.0,LIGHT+ENV,2021-09-02 13:09:05
294,Window,TEMPERATURE,23.34,LIGHT+ENV,2021-09-02 13:11:04
293,Window,LUX,8416.0,LIGHT+ENV,2021-09-02 13:11:04
292,Window,PRESSURE,100525.0,LIGHT+ENV,2021-09-02 13:11:04
291,Window,HUMIDITY,60.26,LIGHT+ENV,2021-09-02 13:11:04
295,Window,TEMPERATURE,23.41,LIGHT+ENV,2021-09-02 13:13:02
296,Window,LUX,8857.0,LIGHT+ENV,2021-09-02 13:13:02
297,Window,HUMIDITY,58.81,LIGHT+ENV,2021-09-02 13:13:02
298,Window,PRESSURE,100527.0,LIGHT+ENV,2021-09-02 13:13:02
299,Window,PRESSURE,100530.0,LIGHT+ENV,2021-09-02 13:15:01
300,Window,LUX,11260.0,LIGHT+ENV,2021-09-02 13:15:01
301,Window,HUMIDITY,58.89,LIGHT+ENV,2021-09-02 13:15:01
302,Window,TEMPERATURE,23.19,LIGHT+ENV,2021-09-02 13:15:01
306,Window,LUX,8888.0,LIGHT+ENV,2021-09-02 13:17:00
305,Window,HUMIDITY,59.99,LIGHT+ENV,2021-09-02 13:17:00
304,Window,PRESSURE,100532.0,LIGHT+ENV,2021-09-02 13:17:00
303,Window,TEMPERATURE,22.83,LIGHT+ENV,2021-09-02 13:17:00
307,Window,LUX,9258.0,LIGHT+ENV,2021-09-02 13:18:05
308,Window,TEMPERATURE,22.43,LIGHT+ENV,2021-09-02 13:18:05
309,Window,PRESSURE,100534.0,LIGHT+ENV,2021-09-02 13:18:05
